"political_party","total_votes","pp_valid_votes","pp_casting_votes","department","province","district"
"PARTIDO POLITICO NACIONAL PERU LIBRE","1,162","58.865%","38.759%","HUANCAVELICA","ACOBAMBA","ROSARIO"
"DEMOCRACIA DIRECTA","4","0.203%","0.133%","HUANCAVELICA","ACOBAMBA","ROSARIO"
"ALIANZA PARA EL PROGRESO","8","0.405%","0.267%","HUANCAVELICA","ACOBAMBA","ROSARIO"
"PARTIDO NACIONALISTA PERUANO","38","1.406%","0.984%","HUANCAVELICA","ANGARAES","ANCHONGA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","16","0.592%","0.414%","HUANCAVELICA","ANGARAES","ANCHONGA"
"PARTIDO MORADO","18","0.666%","0.466%","HUANCAVELICA","ANGARAES","ANCHONGA"
"PERU PATRIA SEGURA","3","0.111%","0.078%","HUANCAVELICA","ANGARAES","ANCHONGA"
"VICTORIA NACIONAL","30","1.110%","0.777%","HUANCAVELICA","ANGARAES","ANCHONGA"
"ACCION POPULAR","324","11.991%","8.387%","HUANCAVELICA","ANGARAES","ANCHONGA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","63","2.332%","1.631%","HUANCAVELICA","ANGARAES","ANCHONGA"
"PODEMOS PERU","11","0.407%","0.285%","HUANCAVELICA","ANGARAES","ANCHONGA"
"JUNTOS POR EL PERU","63","2.332%","1.631%","HUANCAVELICA","ANGARAES","ANCHONGA"
"PARTIDO POPULAR CRISTIANO - PPC","3","0.111%","0.078%","HUANCAVELICA","ANGARAES","ANCHONGA"
"FUERZA POPULAR","53","1.962%","1.372%","HUANCAVELICA","ANGARAES","ANCHONGA"
"UNION POR EL PERU","23","0.851%","0.595%","HUANCAVELICA","ANGARAES","ANCHONGA"
"RENOVACION POPULAR","40","1.480%","1.035%","HUANCAVELICA","ANGARAES","ANCHONGA"
"RENACIMIENTO UNIDO NACIONAL","54","1.999%","1.398%","HUANCAVELICA","ANGARAES","ANCHONGA"
"PARTIDO DEMOCRATICO SOMOS PERU","1","0.037%","0.026%","HUANCAVELICA","ANGARAES","ANCHONGA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","1,950","72.169%","50.479%","HUANCAVELICA","ANGARAES","ANCHONGA"
"DEMOCRACIA DIRECTA","2","0.074%","0.052%","HUANCAVELICA","ANGARAES","ANCHONGA"
"ALIANZA PARA EL PROGRESO","10","0.370%","0.259%","HUANCAVELICA","ANGARAES","ANCHONGA"
"PARTIDO NACIONALISTA PERUANO","13","4.276%","2.928%","HUANCAVELICA","ANGARAES","CALLANMARCA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","1","0.329%","0.225%","HUANCAVELICA","ANGARAES","CALLANMARCA"
"PARTIDO MORADO","4","1.316%","0.901%","HUANCAVELICA","ANGARAES","CALLANMARCA"
"PERU PATRIA SEGURA","0","0.000%","0.000%","HUANCAVELICA","ANGARAES","CALLANMARCA"
"VICTORIA NACIONAL","7","2.303%","1.577%","HUANCAVELICA","ANGARAES","CALLANMARCA"
"ACCION POPULAR","30","9.868%","6.757%","HUANCAVELICA","ANGARAES","CALLANMARCA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","8","2.632%","1.802%","HUANCAVELICA","ANGARAES","CALLANMARCA"
"PODEMOS PERU","8","2.632%","1.802%","HUANCAVELICA","ANGARAES","CALLANMARCA"
"JUNTOS POR EL PERU","16","5.263%","3.604%","HUANCAVELICA","ANGARAES","CALLANMARCA"
"PARTIDO POPULAR CRISTIANO - PPC","0","0.000%","0.000%","HUANCAVELICA","ANGARAES","CALLANMARCA"
"FUERZA POPULAR","5","1.645%","1.126%","HUANCAVELICA","ANGARAES","CALLANMARCA"
"UNION POR EL PERU","3","0.987%","0.676%","HUANCAVELICA","ANGARAES","CALLANMARCA"
"RENOVACION POPULAR","7","2.303%","1.577%","HUANCAVELICA","ANGARAES","CALLANMARCA"
"RENACIMIENTO UNIDO NACIONAL","6","1.974%","1.351%","HUANCAVELICA","ANGARAES","CALLANMARCA"
"PARTIDO DEMOCRATICO SOMOS PERU","0","0.000%","0.000%","HUANCAVELICA","ANGARAES","CALLANMARCA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","192","63.158%","43.243%","HUANCAVELICA","ANGARAES","CALLANMARCA"
"DEMOCRACIA DIRECTA","0","0.000%","0.000%","HUANCAVELICA","ANGARAES","CALLANMARCA"
"ALIANZA PARA EL PROGRESO","4","1.316%","0.901%","HUANCAVELICA","ANGARAES","CALLANMARCA"
"PARTIDO NACIONALISTA PERUANO","11","0.808%","0.585%","HUANCAVELICA","ANGARAES","CCOCHACCASA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","5","0.367%","0.266%","HUANCAVELICA","ANGARAES","CCOCHACCASA"
"PARTIDO MORADO","12","0.882%","0.639%","HUANCAVELICA","ANGARAES","CCOCHACCASA"
"PERU PATRIA SEGURA","2","0.147%","0.106%","HUANCAVELICA","ANGARAES","CCOCHACCASA"
"VICTORIA NACIONAL","7","0.514%","0.373%","HUANCAVELICA","ANGARAES","CCOCHACCASA"
"ACCION POPULAR","172","12.638%","9.154%","HUANCAVELICA","ANGARAES","CCOCHACCASA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","39","2.866%","2.076%","HUANCAVELICA","ANGARAES","CCOCHACCASA"
"PODEMOS PERU","28","2.057%","1.490%","HUANCAVELICA","ANGARAES","CCOCHACCASA"
"JUNTOS POR EL PERU","22","1.616%","1.171%","HUANCAVELICA","ANGARAES","CCOCHACCASA"
"PARTIDO POPULAR CRISTIANO - PPC","3","0.220%","0.160%","HUANCAVELICA","ANGARAES","CCOCHACCASA"
"FUERZA POPULAR","47","3.453%","2.501%","HUANCAVELICA","ANGARAES","CCOCHACCASA"
"UNION POR EL PERU","11","0.808%","0.585%","HUANCAVELICA","ANGARAES","CCOCHACCASA"
"RENOVACION POPULAR","25","1.837%","1.330%","HUANCAVELICA","ANGARAES","CCOCHACCASA"
"RENACIMIENTO UNIDO NACIONAL","28","2.057%","1.490%","HUANCAVELICA","ANGARAES","CCOCHACCASA"
"PARTIDO DEMOCRATICO SOMOS PERU","7","0.514%","0.373%","HUANCAVELICA","ANGARAES","CCOCHACCASA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","929","68.259%","49.441%","HUANCAVELICA","ANGARAES","CCOCHACCASA"
"DEMOCRACIA DIRECTA","2","0.147%","0.106%","HUANCAVELICA","ANGARAES","CCOCHACCASA"
"ALIANZA PARA EL PROGRESO","11","0.808%","0.585%","HUANCAVELICA","ANGARAES","CCOCHACCASA"
"PARTIDO NACIONALISTA PERUANO","4","0.962%","0.661%","HUANCAVELICA","ANGARAES","CHINCHO"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","32","7.692%","5.289%","HUANCAVELICA","ANGARAES","CHINCHO"
"PARTIDO MORADO","3","0.721%","0.496%","HUANCAVELICA","ANGARAES","CHINCHO"
"PERU PATRIA SEGURA","2","0.481%","0.331%","HUANCAVELICA","ANGARAES","CHINCHO"
"VICTORIA NACIONAL","5","1.202%","0.826%","HUANCAVELICA","ANGARAES","CHINCHO"
"ACCION POPULAR","59","14.183%","9.752%","HUANCAVELICA","ANGARAES","CHINCHO"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","7","1.683%","1.157%","HUANCAVELICA","ANGARAES","CHINCHO"
"PODEMOS PERU","2","0.481%","0.331%","HUANCAVELICA","ANGARAES","CHINCHO"
"JUNTOS POR EL PERU","56","13.462%","9.256%","HUANCAVELICA","ANGARAES","CHINCHO"
"PARTIDO POPULAR CRISTIANO - PPC","0","0.000%","0.000%","HUANCAVELICA","ANGARAES","CHINCHO"
"FUERZA POPULAR","86","20.673%","14.215%","HUANCAVELICA","ANGARAES","CHINCHO"
"UNION POR EL PERU","1","0.240%","0.165%","HUANCAVELICA","ANGARAES","CHINCHO"
"RENOVACION POPULAR","18","4.327%","2.975%","HUANCAVELICA","ANGARAES","CHINCHO"
"RENACIMIENTO UNIDO NACIONAL","6","1.442%","0.992%","HUANCAVELICA","ANGARAES","CHINCHO"
"PARTIDO DEMOCRATICO SOMOS PERU","2","0.481%","0.331%","HUANCAVELICA","ANGARAES","CHINCHO"
"PARTIDO POLITICO NACIONAL PERU LIBRE","128","30.769%","21.157%","HUANCAVELICA","ANGARAES","CHINCHO"
"DEMOCRACIA DIRECTA","3","0.721%","0.496%","HUANCAVELICA","ANGARAES","CHINCHO"
"ALIANZA PARA EL PROGRESO","2","0.481%","0.331%","HUANCAVELICA","ANGARAES","CHINCHO"
"PARTIDO NACIONALISTA PERUANO","38","2.832%","1.913%","HUANCAVELICA","ANGARAES","CONGALLA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","38","2.832%","1.913%","HUANCAVELICA","ANGARAES","CONGALLA"
"PARTIDO MORADO","4","0.298%","0.201%","HUANCAVELICA","ANGARAES","CONGALLA"
"PERU PATRIA SEGURA","2","0.149%","0.101%","HUANCAVELICA","ANGARAES","CONGALLA"
"VICTORIA NACIONAL","13","0.969%","0.655%","HUANCAVELICA","ANGARAES","CONGALLA"
"ACCION POPULAR","170","12.668%","8.560%","HUANCAVELICA","ANGARAES","CONGALLA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","28","2.086%","1.410%","HUANCAVELICA","ANGARAES","CONGALLA"
"PODEMOS PERU","12","0.894%","0.604%","HUANCAVELICA","ANGARAES","CONGALLA"
"JUNTOS POR EL PERU","99","7.377%","4.985%","HUANCAVELICA","ANGARAES","CONGALLA"
"PARTIDO POPULAR CRISTIANO - PPC","4","0.298%","0.201%","HUANCAVELICA","ANGARAES","CONGALLA"
"FUERZA POPULAR","38","2.832%","1.913%","HUANCAVELICA","ANGARAES","CONGALLA"
"UNION POR EL PERU","14","1.043%","0.705%","HUANCAVELICA","ANGARAES","CONGALLA"
"RENOVACION POPULAR","32","2.385%","1.611%","HUANCAVELICA","ANGARAES","CONGALLA"
"RENACIMIENTO UNIDO NACIONAL","25","1.863%","1.259%","HUANCAVELICA","ANGARAES","CONGALLA"
"PARTIDO DEMOCRATICO SOMOS PERU","8","0.596%","0.403%","HUANCAVELICA","ANGARAES","CONGALLA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","805","59.985%","40.534%","HUANCAVELICA","ANGARAES","CONGALLA"
"DEMOCRACIA DIRECTA","1","0.075%","0.050%","HUANCAVELICA","ANGARAES","CONGALLA"
"ALIANZA PARA EL PROGRESO","11","0.820%","0.554%","HUANCAVELICA","ANGARAES","CONGALLA"
"PARTIDO NACIONALISTA PERUANO","15","3.036%","1.966%","HUANCAVELICA","ANGARAES","HUALLAY-GRANDE"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","13","2.632%","1.704%","HUANCAVELICA","ANGARAES","HUALLAY-GRANDE"
"PARTIDO MORADO","7","1.417%","0.917%","HUANCAVELICA","ANGARAES","HUALLAY-GRANDE"
"PERU PATRIA SEGURA","2","0.405%","0.262%","HUANCAVELICA","ANGARAES","HUALLAY-GRANDE"
"VICTORIA NACIONAL","4","0.810%","0.524%","HUANCAVELICA","ANGARAES","HUALLAY-GRANDE"
"ACCION POPULAR","73","14.777%","9.567%","HUANCAVELICA","ANGARAES","HUALLAY-GRANDE"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","11","2.227%","1.442%","HUANCAVELICA","ANGARAES","HUALLAY-GRANDE"
"PODEMOS PERU","4","0.810%","0.524%","HUANCAVELICA","ANGARAES","HUALLAY-GRANDE"
"JUNTOS POR EL PERU","46","9.312%","6.029%","HUANCAVELICA","ANGARAES","HUALLAY-GRANDE"
"PARTIDO POPULAR CRISTIANO - PPC","0","0.000%","0.000%","HUANCAVELICA","ANGARAES","HUALLAY-GRANDE"
"FUERZA POPULAR","17","3.441%","2.228%","HUANCAVELICA","ANGARAES","HUALLAY-GRANDE"
"UNION POR EL PERU","4","0.810%","0.524%","HUANCAVELICA","ANGARAES","HUALLAY-GRANDE"
"RENOVACION POPULAR","19","3.846%","2.490%","HUANCAVELICA","ANGARAES","HUALLAY-GRANDE"
"RENACIMIENTO UNIDO NACIONAL","16","3.239%","2.097%","HUANCAVELICA","ANGARAES","HUALLAY-GRANDE"
"PARTIDO DEMOCRATICO SOMOS PERU","2","0.405%","0.262%","HUANCAVELICA","ANGARAES","HUALLAY-GRANDE"
"PARTIDO POLITICO NACIONAL PERU LIBRE","248","50.202%","32.503%","HUANCAVELICA","ANGARAES","HUALLAY-GRANDE"
"DEMOCRACIA DIRECTA","5","1.012%","0.655%","HUANCAVELICA","ANGARAES","HUALLAY-GRANDE"
"ALIANZA PARA EL PROGRESO","8","1.619%","1.048%","HUANCAVELICA","ANGARAES","HUALLAY-GRANDE"
"PARTIDO NACIONALISTA PERUANO","12","2.376%","1.529%","HUANCAVELICA","ANGARAES","HUANCA-HUANCA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","14","2.772%","1.783%","HUANCAVELICA","ANGARAES","HUANCA-HUANCA"
"PARTIDO MORADO","7","1.386%","0.892%","HUANCAVELICA","ANGARAES","HUANCA-HUANCA"
"PERU PATRIA SEGURA","1","0.198%","0.127%","HUANCAVELICA","ANGARAES","HUANCA-HUANCA"
"VICTORIA NACIONAL","18","3.564%","2.293%","HUANCAVELICA","ANGARAES","HUANCA-HUANCA"
"ACCION POPULAR","86","17.030%","10.955%","HUANCAVELICA","ANGARAES","HUANCA-HUANCA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","4","0.792%","0.510%","HUANCAVELICA","ANGARAES","HUANCA-HUANCA"
"PODEMOS PERU","5","0.990%","0.637%","HUANCAVELICA","ANGARAES","HUANCA-HUANCA"
"JUNTOS POR EL PERU","34","6.733%","4.331%","HUANCAVELICA","ANGARAES","HUANCA-HUANCA"
"PARTIDO POPULAR CRISTIANO - PPC","0","0.000%","0.000%","HUANCAVELICA","ANGARAES","HUANCA-HUANCA"
"FUERZA POPULAR","16","3.168%","2.038%","HUANCAVELICA","ANGARAES","HUANCA-HUANCA"
"UNION POR EL PERU","8","1.584%","1.019%","HUANCAVELICA","ANGARAES","HUANCA-HUANCA"
"RENOVACION POPULAR","20","3.960%","2.548%","HUANCAVELICA","ANGARAES","HUANCA-HUANCA"
"RENACIMIENTO UNIDO NACIONAL","11","2.178%","1.401%","HUANCAVELICA","ANGARAES","HUANCA-HUANCA"
"PARTIDO DEMOCRATICO SOMOS PERU","0","0.000%","0.000%","HUANCAVELICA","ANGARAES","HUANCA-HUANCA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","267","52.871%","34.013%","HUANCAVELICA","ANGARAES","HUANCA-HUANCA"
"DEMOCRACIA DIRECTA","0","0.000%","0.000%","HUANCAVELICA","ANGARAES","HUANCA-HUANCA"
"ALIANZA PARA EL PROGRESO","2","0.396%","0.255%","HUANCAVELICA","ANGARAES","HUANCA-HUANCA"
"PARTIDO NACIONALISTA PERUANO","16","3.306%","2.623%","HUANCAVELICA","ANGARAES","JULCAMARCA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","10","2.066%","1.639%","HUANCAVELICA","ANGARAES","JULCAMARCA"
"PARTIDO MORADO","1","0.207%","0.164%","HUANCAVELICA","ANGARAES","JULCAMARCA"
"PERU PATRIA SEGURA","0","0.000%","0.000%","HUANCAVELICA","ANGARAES","JULCAMARCA"
"VICTORIA NACIONAL","12","2.479%","1.967%","HUANCAVELICA","ANGARAES","JULCAMARCA"
"ACCION POPULAR","44","9.091%","7.213%","HUANCAVELICA","ANGARAES","JULCAMARCA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","12","2.479%","1.967%","HUANCAVELICA","ANGARAES","JULCAMARCA"
"PODEMOS PERU","4","0.826%","0.656%","HUANCAVELICA","ANGARAES","JULCAMARCA"
"JUNTOS POR EL PERU","54","11.157%","8.852%","HUANCAVELICA","ANGARAES","JULCAMARCA"
"PARTIDO POPULAR CRISTIANO - PPC","1","0.207%","0.164%","HUANCAVELICA","ANGARAES","JULCAMARCA"
"FUERZA POPULAR","24","4.959%","3.934%","HUANCAVELICA","ANGARAES","JULCAMARCA"
"UNION POR EL PERU","2","0.413%","0.328%","HUANCAVELICA","ANGARAES","JULCAMARCA"
"RENOVACION POPULAR","36","7.438%","5.902%","HUANCAVELICA","ANGARAES","JULCAMARCA"
"RENACIMIENTO UNIDO NACIONAL","8","1.653%","1.311%","HUANCAVELICA","ANGARAES","JULCAMARCA"
"PARTIDO DEMOCRATICO SOMOS PERU","1","0.207%","0.164%","HUANCAVELICA","ANGARAES","JULCAMARCA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","257","53.099%","42.131%","HUANCAVELICA","ANGARAES","JULCAMARCA"
"DEMOCRACIA DIRECTA","2","0.413%","0.328%","HUANCAVELICA","ANGARAES","JULCAMARCA"
"ALIANZA PARA EL PROGRESO","0","0.000%","0.000%","HUANCAVELICA","ANGARAES","JULCAMARCA"
"PARTIDO NACIONALISTA PERUANO","213","2.483%","1.683%","HUANCAVELICA","ANGARAES","LIRCAY"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","130","1.516%","1.027%","HUANCAVELICA","ANGARAES","LIRCAY"
"PARTIDO MORADO","155","1.807%","1.225%","HUANCAVELICA","ANGARAES","LIRCAY"
"PERU PATRIA SEGURA","25","0.291%","0.198%","HUANCAVELICA","ANGARAES","LIRCAY"
"VICTORIA NACIONAL","111","1.294%","0.877%","HUANCAVELICA","ANGARAES","LIRCAY"
"ACCION POPULAR","985","11.484%","7.783%","HUANCAVELICA","ANGARAES","LIRCAY"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","272","3.171%","2.149%","HUANCAVELICA","ANGARAES","LIRCAY"
"PODEMOS PERU","130","1.516%","1.027%","HUANCAVELICA","ANGARAES","LIRCAY"
"JUNTOS POR EL PERU","461","5.375%","3.643%","HUANCAVELICA","ANGARAES","LIRCAY"
"PARTIDO POPULAR CRISTIANO - PPC","23","0.268%","0.182%","HUANCAVELICA","ANGARAES","LIRCAY"
"FUERZA POPULAR","386","4.500%","3.050%","HUANCAVELICA","ANGARAES","LIRCAY"
"UNION POR EL PERU","75","0.874%","0.593%","HUANCAVELICA","ANGARAES","LIRCAY"
"RENOVACION POPULAR","415","4.839%","3.279%","HUANCAVELICA","ANGARAES","LIRCAY"
"RENACIMIENTO UNIDO NACIONAL","327","3.813%","2.584%","HUANCAVELICA","ANGARAES","LIRCAY"
"PARTIDO DEMOCRATICO SOMOS PERU","43","0.501%","0.340%","HUANCAVELICA","ANGARAES","LIRCAY"
"PARTIDO POLITICO NACIONAL PERU LIBRE","4,669","54.436%","36.895%","HUANCAVELICA","ANGARAES","LIRCAY"
"DEMOCRACIA DIRECTA","42","0.490%","0.332%","HUANCAVELICA","ANGARAES","LIRCAY"
"ALIANZA PARA EL PROGRESO","115","1.341%","0.909%","HUANCAVELICA","ANGARAES","LIRCAY"
"PARTIDO NACIONALISTA PERUANO","9","2.133%","1.692%","HUANCAVELICA","ANGARAES","SAN ANTONIO DE ANTAPARCO"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","37","8.768%","6.955%","HUANCAVELICA","ANGARAES","SAN ANTONIO DE ANTAPARCO"
"PARTIDO MORADO","2","0.474%","0.376%","HUANCAVELICA","ANGARAES","SAN ANTONIO DE ANTAPARCO"
"PERU PATRIA SEGURA","0","0.000%","0.000%","HUANCAVELICA","ANGARAES","SAN ANTONIO DE ANTAPARCO"
"VICTORIA NACIONAL","3","0.711%","0.564%","HUANCAVELICA","ANGARAES","SAN ANTONIO DE ANTAPARCO"
"ACCION POPULAR","34","8.057%","6.391%","HUANCAVELICA","ANGARAES","SAN ANTONIO DE ANTAPARCO"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","11","2.607%","2.068%","HUANCAVELICA","ANGARAES","SAN ANTONIO DE ANTAPARCO"
"PODEMOS PERU","2","0.474%","0.376%","HUANCAVELICA","ANGARAES","SAN ANTONIO DE ANTAPARCO"
"JUNTOS POR EL PERU","50","11.848%","9.398%","HUANCAVELICA","ANGARAES","SAN ANTONIO DE ANTAPARCO"
"PARTIDO POPULAR CRISTIANO - PPC","1","0.237%","0.188%","HUANCAVELICA","ANGARAES","SAN ANTONIO DE ANTAPARCO"
"FUERZA POPULAR","17","4.028%","3.195%","HUANCAVELICA","ANGARAES","SAN ANTONIO DE ANTAPARCO"
"UNION POR EL PERU","3","0.711%","0.564%","HUANCAVELICA","ANGARAES","SAN ANTONIO DE ANTAPARCO"
"RENOVACION POPULAR","9","2.133%","1.692%","HUANCAVELICA","ANGARAES","SAN ANTONIO DE ANTAPARCO"
"RENACIMIENTO UNIDO NACIONAL","4","0.948%","0.752%","HUANCAVELICA","ANGARAES","SAN ANTONIO DE ANTAPARCO"
"PARTIDO DEMOCRATICO SOMOS PERU","2","0.474%","0.376%","HUANCAVELICA","ANGARAES","SAN ANTONIO DE ANTAPARCO"
"PARTIDO POLITICO NACIONAL PERU LIBRE","235","55.687%","44.173%","HUANCAVELICA","ANGARAES","SAN ANTONIO DE ANTAPARCO"
"DEMOCRACIA DIRECTA","0","0.000%","0.000%","HUANCAVELICA","ANGARAES","SAN ANTONIO DE ANTAPARCO"
"ALIANZA PARA EL PROGRESO","3","0.711%","0.564%","HUANCAVELICA","ANGARAES","SAN ANTONIO DE ANTAPARCO"
"PARTIDO NACIONALISTA PERUANO","12","2.376%","1.722%","HUANCAVELICA","ANGARAES","SANTO TOMAS DE PATA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","12","2.376%","1.722%","HUANCAVELICA","ANGARAES","SANTO TOMAS DE PATA"
"PARTIDO MORADO","2","0.396%","0.287%","HUANCAVELICA","ANGARAES","SANTO TOMAS DE PATA"
"PERU PATRIA SEGURA","0","0.000%","0.000%","HUANCAVELICA","ANGARAES","SANTO TOMAS DE PATA"
"VICTORIA NACIONAL","13","2.574%","1.865%","HUANCAVELICA","ANGARAES","SANTO TOMAS DE PATA"
"ACCION POPULAR","41","8.119%","5.882%","HUANCAVELICA","ANGARAES","SANTO TOMAS DE PATA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","5","0.990%","0.717%","HUANCAVELICA","ANGARAES","SANTO TOMAS DE PATA"
"PODEMOS PERU","6","1.188%","0.861%","HUANCAVELICA","ANGARAES","SANTO TOMAS DE PATA"
"JUNTOS POR EL PERU","30","5.941%","4.304%","HUANCAVELICA","ANGARAES","SANTO TOMAS DE PATA"
"PARTIDO POPULAR CRISTIANO - PPC","1","0.198%","0.143%","HUANCAVELICA","ANGARAES","SANTO TOMAS DE PATA"
"FUERZA POPULAR","45","8.911%","6.456%","HUANCAVELICA","ANGARAES","SANTO TOMAS DE PATA"
"UNION POR EL PERU","0","0.000%","0.000%","HUANCAVELICA","ANGARAES","SANTO TOMAS DE PATA"
"RENOVACION POPULAR","18","3.564%","2.582%","HUANCAVELICA","ANGARAES","SANTO TOMAS DE PATA"
"RENACIMIENTO UNIDO NACIONAL","6","1.188%","0.861%","HUANCAVELICA","ANGARAES","SANTO TOMAS DE PATA"
"PARTIDO DEMOCRATICO SOMOS PERU","0","0.000%","0.000%","HUANCAVELICA","ANGARAES","SANTO TOMAS DE PATA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","313","61.980%","44.907%","HUANCAVELICA","ANGARAES","SANTO TOMAS DE PATA"
"DEMOCRACIA DIRECTA","0","0.000%","0.000%","HUANCAVELICA","ANGARAES","SANTO TOMAS DE PATA"
"ALIANZA PARA EL PROGRESO","1","0.198%","0.143%","HUANCAVELICA","ANGARAES","SANTO TOMAS DE PATA"
"PARTIDO NACIONALISTA PERUANO","23","2.000%","1.534%","HUANCAVELICA","ANGARAES","SECCLLA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","18","1.565%","1.201%","HUANCAVELICA","ANGARAES","SECCLLA"
"PARTIDO MORADO","5","0.435%","0.334%","HUANCAVELICA","ANGARAES","SECCLLA"
"PERU PATRIA SEGURA","3","0.261%","0.200%","HUANCAVELICA","ANGARAES","SECCLLA"
"VICTORIA NACIONAL","10","0.870%","0.667%","HUANCAVELICA","ANGARAES","SECCLLA"
"ACCION POPULAR","136","11.826%","9.073%","HUANCAVELICA","ANGARAES","SECCLLA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","23","2.000%","1.534%","HUANCAVELICA","ANGARAES","SECCLLA"
"PODEMOS PERU","15","1.304%","1.001%","HUANCAVELICA","ANGARAES","SECCLLA"
"JUNTOS POR EL PERU","64","5.565%","4.270%","HUANCAVELICA","ANGARAES","SECCLLA"
"PARTIDO POPULAR CRISTIANO - PPC","2","0.174%","0.133%","HUANCAVELICA","ANGARAES","SECCLLA"
"FUERZA POPULAR","48","4.174%","3.202%","HUANCAVELICA","ANGARAES","SECCLLA"
"UNION POR EL PERU","10","0.870%","0.667%","HUANCAVELICA","ANGARAES","SECCLLA"
"RENOVACION POPULAR","35","3.043%","2.335%","HUANCAVELICA","ANGARAES","SECCLLA"
"RENACIMIENTO UNIDO NACIONAL","33","2.870%","2.201%","HUANCAVELICA","ANGARAES","SECCLLA"
"PARTIDO DEMOCRATICO SOMOS PERU","3","0.261%","0.200%","HUANCAVELICA","ANGARAES","SECCLLA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","709","61.652%","47.298%","HUANCAVELICA","ANGARAES","SECCLLA"
"DEMOCRACIA DIRECTA","5","0.435%","0.334%","HUANCAVELICA","ANGARAES","SECCLLA"
"ALIANZA PARA EL PROGRESO","8","0.696%","0.534%","HUANCAVELICA","ANGARAES","SECCLLA"
"PARTIDO NACIONALISTA PERUANO","16","3.279%","2.432%","HUANCAVELICA","CASTROVIRREYNA","ARMA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","2","0.410%","0.304%","HUANCAVELICA","CASTROVIRREYNA","ARMA"
"PARTIDO MORADO","5","1.025%","0.760%","HUANCAVELICA","CASTROVIRREYNA","ARMA"
"PERU PATRIA SEGURA","3","0.615%","0.456%","HUANCAVELICA","CASTROVIRREYNA","ARMA"
"VICTORIA NACIONAL","4","0.820%","0.608%","HUANCAVELICA","CASTROVIRREYNA","ARMA"
"ACCION POPULAR","73","14.959%","11.094%","HUANCAVELICA","CASTROVIRREYNA","ARMA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","7","1.434%","1.064%","HUANCAVELICA","CASTROVIRREYNA","ARMA"
"PODEMOS PERU","17","3.484%","2.584%","HUANCAVELICA","CASTROVIRREYNA","ARMA"
"JUNTOS POR EL PERU","37","7.582%","5.623%","HUANCAVELICA","CASTROVIRREYNA","ARMA"
"PARTIDO POPULAR CRISTIANO - PPC","3","0.615%","0.456%","HUANCAVELICA","CASTROVIRREYNA","ARMA"
"FUERZA POPULAR","129","26.434%","19.605%","HUANCAVELICA","CASTROVIRREYNA","ARMA"
"UNION POR EL PERU","3","0.615%","0.456%","HUANCAVELICA","CASTROVIRREYNA","ARMA"
"RENOVACION POPULAR","27","5.533%","4.103%","HUANCAVELICA","CASTROVIRREYNA","ARMA"
"RENACIMIENTO UNIDO NACIONAL","4","0.820%","0.608%","HUANCAVELICA","CASTROVIRREYNA","ARMA"
"PARTIDO DEMOCRATICO SOMOS PERU","7","1.434%","1.064%","HUANCAVELICA","CASTROVIRREYNA","ARMA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","144","29.508%","21.884%","HUANCAVELICA","CASTROVIRREYNA","ARMA"
